id,fuel,available
49858,6.0,True
49859,16.0,True
52406,77.0,True
55365,45.0,True
55563,10.0,True
55564,72.0,True
61844,60.0,True
61859,53.0,True
63811,90.0,True
67765,5.0,True
67767,37.0,True
67769,80.0,True
67770,97.0,True
67774,31.0,True
67776,23.0,True
67779,7.0,True
67789,26.0,True
69955,23.0,True
70205,41.0,True
74066,41.0,True
74090,10.0,True
74091,96.0,True
74095,42.0,True
74096,38.0,True
57634,66.0,True
60542,32.0,True
60548,64.0,True
60568,94.0,True
60570,82.0,True
60583,68.0,True
60592,39.0,True
60617,73.0,True
60620,50.0,True
60623,62.0,True
60632,57.0,True
60636,91.0,True
60638,89.0,True
60644,89.0,True
60648,32.0,True
60654,29.0,True
60661,29.0,True
60669,48.0,True
60674,59.0,True
60685,32.0,True
60691,89.0,True
60693,89.0,True
60702,87.0,True
60707,62.0,True
60710,41.0,True
60964,39.0,True
60965,52.0,True
60989,91.0,True
60992,68.0,True
60996,57.0,True
61000,64.0,True
61439,87.0,True
61446,39.0,True
61475,57.0,True
61483,91.0,True
62293,43.0,True
66446,57.0,True
66448,29.0,True
66472,61.0,True
66474,82.0,True
66491,66.0,True
68454,73.0,True
68460,50.0,True
68462,39.0,True
68467,32.0,True
68470,66.0,True
68477,36.0,True
68478,64.0,True
68507,82.0,True
68555,32.0,True
68560,75.0,True
68562,66.0,True
68563,50.0,True
68564,39.0,True
68567,36.0,True
70714,68.0,True
70718,43.0,True
70724,80.0,True
70775,48.0,True
70783,89.0,True
70790,42.0,True
70800,39.0,True
70813,43.0,True
70828,96.0,True
70834,36.0,True
70845,52.0,True
70848,67.0,True
70859,39.0,True
70865,96.0,True
70867,50.0,True
70874,45.0,True
70882,36.0,True
70906,32.0,True
70916,66.0,True
70922,34.0,True
70931,87.0,True
70944,25.0,True
71142,41.0,True
71201,50.0,True
71219,29.0,True
71245,71.0,True
73848,75.0,True
73859,80.0,True
73870,39.0,True
73871,87.0,True
73875,59.0,True
73911,62.0,True
73913,32.0,True
73922,82.0,True
73930,44.0,True
73960,45.0,True
73977,96.0,True
73996,88.0,True
74014,43.0,True
74022,89.0,True
78973,20.0,True
78975,50.0,True
78976,75.0,True
78979,66.0,True
78987,45.0,True
79018,34.0,True
79075,39.0,True
79084,91.0,True
79099,41.0,True
79100,41.0,True
79103,35.0,True
79113,102.0,True
79115,87.0,True
79135,33.0,True
79146,82.0,True
79149,68.0,True
79163,68.0,True
79176,89.0,True
79177,50.0,True
79183,86.0,True
79191,88.0,True
79216,50.0,True
79217,62.0,True
79222,89.0,True
79245,59.0,True
79260,78.0,True
79283,64.0,True
79311,27.0,True
79332,52.0,True
79344,44.0,True
79347,25.0,True
79417,73.0,True
79424,96.0,True
79431,80.0,True
79448,88.0,True
79450,98.0,True
79462,62.0,True
79486,48.0,True
79502,67.0,True
79505,64.0,True
79517,100.0,True
79539,66.0,True
79555,40.0,True
79556,85.0,True
79562,59.0,True
79573,80.0,True
79617,44.0,True
79643,22.0,True
79656,46.0,True
79662,29.0,True
79666,25.0,True
79669,75.0,True
79677,94.0,True
79679,37.0,True
79681,78.0,True
79698,21.0,True
79704,82.0,True
79720,82.0,True
79778,25.0,True
79779,82.0,True
79780,98.0,True
79800,45.0,True
79822,82.0,True
79825,42.0,True
79889,80.0,True
79911,64.0,True
79923,18.0,True
79952,64.0,True
79963,65.0,True
80009,68.0,True
80081,52.0,True
80144,48.0,True
80170,80.0,True
80185,46.0,True
80212,96.0,True
80233,78.0,True
80236,91.0,True
52787,20.0,True
52788,12.0,True
52789,70.0,True
52792,50.0,True
52793,12.0,True
52794,86.0,True
52795,66.0,True
52796,14.0,True
52797,18.0,True
52798,34.0,True
52799,36.0,True
52800,26.0,True
52803,34.0,True
52808,30.0,True
52812,16.0,True
52818,58.0,True
54637,4.0,True
54646,38.0,True
54656,92.0,True
55305,52.0,True
66633,41.0,True
66644,31.0,True
66689,42.0,True
66701,61.0,True
66702,87.0,True
66708,31.0,True
66736,44.0,True
66753,69.0,True
66768,50.0,True
66773,85.0,True
66776,34.0,True
66799,72.0,True
66817,37.0,True
66824,50.0,True
66829,76.0,True
66830,54.0,True
66846,50.0,True
66847,42.0,True
66848,71.0,True
66865,91.0,True
68638,65.0,True
68639,41.0,True
68650,93.0,True
68654,82.0,True
68655,63.0,True
68666,59.0,True
68670,87.0,True
68678,46.0,True
68681,82.0,True
68708,97.0,True
68726,22.0,True
68735,50.0,True
68742,50.0,True
68744,39.0,True
68764,48.0,True
68773,71.0,True
68779,65.0,True
68785,48.0,True
68808,89.0,True
68813,74.0,True
68819,57.0,True
68831,31.0,True
68874,57.0,True
68879,52.0,True
68896,91.0,True
68930,87.0,True
68944,35.0,True
68948,72.0,True
68965,95.0,True
71290,35.0,True
71348,74.0,True
71362,69.0,True
71370,48.0,True
71404,31.0,True
71411,46.0,True
73544,46.0,True
73562,52.0,True
73578,35.0,True
73612,26.0,True
69116,83.0,True
69135,88.0,True
69154,42.0,True
69172,88.0,True
69182,33.0,True
69740,33.0,True
69745,90.0,True
69747,53.0,True
69751,88.0,True
75860,35.0,True
75883,96.0,True
75896,55.0,True
76027,88.0,True
78400,72.0,True
78411,59.0,True
78424,44.0,True
78428,37.0,True
78449,35.0,True
78452,35.0,True
78489,42.0,True
78596,37.0,True
78620,62.0,True
78631,40.0,True
78634,46.0,True
78648,71.0,True
78649,90.0,True
78664,75.0,True
78722,75.0,True
78726,72.0,True
78727,31.0,True
78733,35.0,True
78746,33.0,True
78750,69.0,True
78770,68.0,True
78782,59.0,True
78791,58.0,True
78792,35.0,True
78794,92.0,True
78812,61.0,True
83393,36.0,True
83438,30.0,True
83465,90.0,True
83512,48.0,True
83580,86.0,True
83594,65.0,True
83645,93.0,True
83657,41.0,True
83671,25.0,True
83703,26.0,True
83740,48.0,True
83767,53.0,True
83790,20.0,True
83841,55.0,True
83874,66.0,True
83886,82.0,True
87750,90.0,True
87789,60.0,True
87822,86.0,True
87833,84.0,True
87910,78.0,True
88041,86.0,True
88051,50.0,True
78383,84.0,True
78385,88.0,True
84313,20.0,True
84314,46.0,True
81841,52.0,True
81843,65.0,True
81847,45.0,True
81848,51.0,True
81849,77.0,True
81850,89.0,True
81851,70.0,True
81854,83.0,True
81855,60.0,True
81856,73.0,True
81857,42.0,True
81859,81.0,True
81864,40.0,True
81865,32.0,True
81866,39.0,True
81867,45.0,True
81868,45.0,True
81873,33.0,True
81875,50.0,True
81876,79.0,True
81877,61.0,True
81878,49.0,True
81879,36.0,True
81881,71.0,True
81883,42.0,True
81884,77.0,True
81886,40.0,True
81888,78.0,True
81890,89.0,True
81891,43.0,True
81892,49.0,True
81895,79.0,True
81896,71.0,True
81899,82.0,True
81900,79.0,True
81902,29.0,True
81903,38.0,True
81904,51.0,True
81906,82.0,True
81908,80.0,True
81909,43.0,True
81913,79.0,True
81914,41.0,True
81916,86.0,True
81917,83.0,True
81918,40.0,True
81919,38.0,True
81923,84.0,True
81924,89.0,True
81925,69.0,True
81926,85.0,True
81927,66.0,True
81928,48.0,True
81930,82.0,True
81931,65.0,True
81933,61.0,True
81934,54.0,True
81937,38.0,True
81938,39.0,True
81939,71.0,True
81941,53.0,True
81946,47.0,True
81947,77.0,True
81949,36.0,True
81950,96.0,True
81952,80.0,True
81954,71.0,True
81956,78.0,True
81959,31.0,True
81961,88.0,True
81963,49.0,True
81964,54.0,True
81965,72.0,True
81966,31.0,True
81967,98.0,True
81973,64.0,True
81977,54.0,True
81980,76.0,True
81985,39.0,True
81986,36.0,True
81988,81.0,True
81990,73.0,True
81992,49.0,True
81995,62.0,True
81996,59.0,True
81998,71.0,True
81999,60.0,True
82007,79.0,True
82008,74.0,True
82010,36.0,True
82011,83.0,True
82012,85.0,True
82013,51.0,True
82015,76.0,True
82016,78.0,True
82017,77.0,True
82019,49.0,True
82020,49.0,True
82022,23.0,True
82023,25.0,True
82024,63.0,True
82025,34.0,True
82026,62.0,True
82028,89.0,True
82032,70.0,True
82033,39.0,True
82036,58.0,True
82039,67.0,True
82040,40.0,True
82043,76.0,True
82044,79.0,True
82045,75.0,True
82046,68.0,True
82047,47.0,True
82050,58.0,True
82051,73.0,True
82052,82.0,True
82054,68.0,True
82055,100.0,True
82057,37.0,True
82059,86.0,True
82062,75.0,True
82063,57.0,True
82064,50.0,True
82068,51.0,True
82070,50.0,True
82071,33.0,True
82072,82.0,True
82074,62.0,True
82075,72.0,True
82077,70.0,True
82080,67.0,True
82082,62.0,True
82085,77.0,True
82088,60.0,True
82089,82.0,True
82090,49.0,True
82091,49.0,True
82093,29.0,True
82094,35.0,True
82098,23.0,True
82099,34.0,True
82100,74.0,True
82101,55.0,True
82103,23.0,True
82104,26.0,True
82105,53.0,True
82108,34.0,True
82109,38.0,True
82110,55.0,True
82111,53.0,True
82112,32.0,True
82113,56.0,True
82114,51.0,True
82115,58.0,True
82117,33.0,True
82118,30.0,True
82121,81.0,True
82125,79.0,True
82126,59.0,True
82128,26.0,True
82129,66.0,True
82130,56.0,True
82131,33.0,True
82132,43.0,True
82134,67.0,True
82135,66.0,True
82136,71.0,True
82137,77.0,True
82139,46.0,True
82143,50.0,True
82144,42.0,True
82146,76.0,True
82148,86.0,True
82149,76.0,True
82150,67.0,True
82151,41.0,True
82152,65.0,True
82153,79.0,True
82154,58.0,True
82155,71.0,True
82156,50.0,True
82157,76.0,True
82158,36.0,True
82159,87.0,True
82160,81.0,True
82163,76.0,True
82166,82.0,True
82168,66.0,True
82169,77.0,True
82173,47.0,True
82175,32.0,True
82177,39.0,True
82178,28.0,True
82179,69.0,True
82180,49.0,True
82187,80.0,True
82189,85.0,True
82190,71.0,True
82191,85.0,True
82192,70.0,True
82193,38.0,True
82194,71.0,True
82196,64.0,True
82199,29.0,True
82201,42.0,True
82203,66.0,True
82205,79.0,True
82206,40.0,True
82209,70.0,True
82210,55.0,True
82212,72.0,True
82214,46.0,True
82215,54.0,True
82217,52.0,True
82218,37.0,True
82219,58.0,True
82220,30.0,True
82223,78.0,True
82224,92.0,True
82227,44.0,True
82234,63.0,True
82237,33.0,True
82238,27.0,True
82239,86.0,True
82242,39.0,True
82246,68.0,True
82248,63.0,True
82249,60.0,True
82250,64.0,True
82251,56.0,True
82252,22.0,True
82253,49.0,True
82257,59.0,True
82260,99.0,True
82261,31.0,True
82262,68.0,True
82267,48.0,True
82268,72.0,True
82269,74.0,True
82271,39.0,True
82272,30.0,True
82273,65.0,True
82274,40.0,True
82275,49.0,True
82276,50.0,True
82278,23.0,True
82279,73.0,True
82280,69.0,True
82281,46.0,True
82283,46.0,True
82284,35.0,True
82286,98.0,True
82289,69.0,True
82290,73.0,True
82291,81.0,True
82294,60.0,True
82295,79.0,True
82297,37.0,True
82298,89.0,True
82299,76.0,True
82301,51.0,True
82302,44.0,True
82303,41.0,True
82304,82.0,True
82308,42.0,True
82310,69.0,True
82312,76.0,True
82313,37.0,True
82314,80.0,True
82316,58.0,True
82319,43.0,True
82323,51.0,True
82324,52.0,True
82325,32.0,True
82329,78.0,True
82331,76.0,True
82332,83.0,True
82333,67.0,True
82335,70.0,True
82337,75.0,True
82342,45.0,True
82343,43.0,True
82345,61.0,True
82346,60.0,True
82347,57.0,True
82348,82.0,True
82349,48.0,True
82351,29.0,True
82353,79.0,True
82355,44.0,True
82356,92.0,True
82358,62.0,True
82363,81.0,True
82364,99.0,True
82365,79.0,True
82366,50.0,True
82369,59.0,True
82373,48.0,True
82378,31.0,True
82380,46.0,True
82381,24.0,True
82383,40.0,True
82384,54.0,True
82385,50.0,True
82386,45.0,True
82389,83.0,True
82390,81.0,True
82391,63.0,True
82392,64.0,True
82395,77.0,True
82396,67.0,True
82397,65.0,True
82398,68.0,True
82400,89.0,True
82401,68.0,True
82402,85.0,True
82403,54.0,True
82404,45.0,True
82405,55.0,True
82406,41.0,True
82407,83.0,True
82408,33.0,True
82409,88.0,True
82410,69.0,True
82412,36.0,True
82417,75.0,True
82418,68.0,True
82425,31.0,True
82426,88.0,True
82428,85.0,True
82429,32.0,True
82433,53.0,True
82439,63.0,True
82440,80.0,True
82445,64.0,True
82449,53.0,True
82450,84.0,True
82452,43.0,True
82453,51.0,True
82455,43.0,True
82456,62.0,True
82457,60.0,True
82459,40.0,True
82466,88.0,True
82467,72.0,True
82468,88.0,True
82469,76.0,True
82472,51.0,True
82474,67.0,True
82475,73.0,True
82476,74.0,True
82480,99.0,True
82481,81.0,True
82482,76.0,True
82483,35.0,True
82487,48.0,True
82488,76.0,True
82490,98.0,True
82493,75.0,True
82494,68.0,True
82495,69.0,True
82497,80.0,True
82500,38.0,True
82501,69.0,True
82502,78.0,True
82503,93.0,True
82504,23.0,True
82510,65.0,True
82512,65.0,True
82513,54.0,True
82514,29.0,True
82517,60.0,True
82518,74.0,True
82519,50.0,True
82522,37.0,True
82524,44.0,True
82526,48.0,True
82532,51.0,True
82535,62.0,True
82536,71.0,True
